SMILES;cpd;ChEBI;compoundname;value_NR_AR;label_NR_AR;value_NR_AR_LBD;label_NR_AR_LBD;value_NR_AhR;label_NR_AhR;value_NR_Aromatase;label_NR_Aromatase;value_NR_ER;label_NR_ER;value_NR_ER_LBD;label_NR_ER_LBD;value_NR_PPAR_gamma;label_NR_PPAR_gamma;value_NR_GR;label_NR_GR;value_NR_TR;label_NR_TR;value_SR_ARE;label_SR_ARE;value_SR_ATAD5;label_SR_ATAD5;value_SR_HSE;label_SR_HSE;value_SR_MMP;label_SR_MMP;value_SR_p53;label_SR_p53;value_Gen_AMES_Mutagenesis;label_Gen_AMES_Mutagenesis;value_Gen_Carcinogenesis;label_Gen_Carcinogenesis;value_Gen_Micronucleus;label_Gen_Micronucleus;value_Env_Fathead_Minnow;label_Env_Fathead_Minnow;value_Env_T_Pyriformis;label_Env_T_Pyriformis;value_Env_Honey_Bee;label_Env_Honey_Bee;value_Env_Biodegradation;label_Env_Biodegradation;value_Env_Crustacean;label_Env_Crustacean;value_Env_Avian;label_Env_Avian;value_Org_Skin_Sensitisation;label_Org_Skin_Sensitisation;value_Org_hERG_I_Inhibitor;label_Org_hERG_I_Inhibitor;value_Org_hERG_II_Inhibitor;label_Org_hERG_II_Inhibitor;value_Org_Liver_Injury_I;label_Org_Liver_Injury_I;value_Org_Liver_Injury_II;label_Org_Liver_Injury_II;value_Org_Eye_Irritation;label_Org_Eye_Irritation;value_Org_Eye_Corrosion;label_Org_Eye_Corrosion;value_Org_Respiratory_Disease;label_Org_Respiratory_Disease
Cl[C@H]1[C@H](Cl)[C@@H](Cl)[C@H](Cl)[C@H](Cl)[C@H]1Cl;C15214;39096;alpha-Hexachlorocyclohexane;0;High Safety;0;High Safety;0.01;High Safety;0;High Safety;0.05;High Safety;0;High Safety;0.02;High Safety;0.01;High Safety;0.43;Low Safety;0.02;High Safety;0.01;High Safety;0;High Safety;0.33;Medium Safety;0.07;High Safety;0;High Safety;0.15;High Safety;0.5;Low Toxicity;0.6;Low Toxicity;1;High Toxicity;1;High Toxicity;0.01;High Safety;1;High Toxicity;0.05;High Safety;0.64;Low Toxicity;0.06;High Safety;0.26;Medium Safety;0.11;High Safety;0.44;Low Safety;0.76;Medium Toxicity;0.8;Medium Toxicity;0;High Safety
Cl[Cd]Cl;C15233;35456;Cadmium chloride;0.05;High Safety;0;High Safety;0;High Safety;0;High Safety;0.09;High Safety;0.25;Medium Safety;0.01;High Safety;0.11;High Safety;0.04;High Safety;0.02;High Safety;0;High Safety;0.16;High Safety;0.05;High Safety;0.05;High Safety;0.28;Medium Safety;0.15;High Safety;0.5;Low Toxicity;0.16;High Safety;0.83;Medium Toxicity;0.97;High Toxicity;0.04;High Safety;0.37;Low Safety;0.01;High Safety;0.59;Low Toxicity;0.02;High Safety;0.37;Low Safety;0.01;High Safety;0.42;Low Safety;0.72;Medium Toxicity;0.59;Low Toxicity;0.2;Medium Safety
Cl[Hg]Cl;C13377;31823;Mercuric chloride;0.05;High Safety;0.1;High Safety;0;High Safety;0;High Safety;0.09;High Safety;0.25;Medium Safety;0.01;High Safety;0.13;High Safety;0.04;High Safety;0.23;Medium Safety;0;High Safety;0.16;High Safety;0.05;High Safety;0.04;High Safety;0.28;Medium Safety;0.15;High Safety;0.5;Low Toxicity;0.16;High Safety;0.79;Medium Toxicity;0.95;High Toxicity;0.04;High Safety;0.3;Medium Safety;0.01;High Safety;0.57;Low Toxicity;0.02;High Safety;0.37;Low Safety;0.01;High Safety;0.42;Low Safety;0.72;Medium Toxicity;0.59;Low Toxicity;0.2;Medium Safety
Cl[Ni]Cl;C14711;34887;Nickel chloride;0;High Safety;0;High Safety;0;High Safety;0;High Safety;0.09;High Safety;0.01;High Safety;0.01;High Safety;0.08;High Safety;0.04;High Safety;0.01;High Safety;0;High Safety;0.11;High Safety;0.05;High Safety;0.07;High Safety;0.29;Medium Safety;0.15;High Safety;0.5;Low Toxicity;0.15;High Safety;0.88;High Toxicity;0.84;High Toxicity;0.06;High Safety;0.52;Low Toxicity;0.01;High Safety;0.31;Medium Safety;0.03;High Safety;0.37;Low Safety;0.01;High Safety;0.66;Low Toxicity;0.72;Medium Toxicity;0.59;Low Toxicity;0.22;Medium Safety
Cl\C=C/Cl;C06792;28805;cis-1.2-Dichloroethene;0;High Safety;0;High Safety;0;High Safety;0;High Safety;0.07;High Safety;0.02;High Safety;0.01;High Safety;0.06;High Safety;0.01;High Safety;0.01;High Safety;0.01;High Safety;0;High Safety;0;High Safety;0.01;High Safety;0.71;Medium Toxicity;0.15;High Safety;0.5;Low Toxicity;0.6;Low Toxicity;0.86;High Toxicity;0.72;Medium Toxicity;0.03;High Safety;0;High Safety;0.01;High Safety;0.46;Low Safety;0.05;High Safety;0.36;Low Safety;0.02;High Safety;0.4;Low Safety;0.81;Medium Toxicity;0.66;Low Toxicity;0;High Safety
Cl\C=C\Cl;C06791;29027;trans-1.2-Dichloroethene;0;High Safety;0;High Safety;0;High Safety;0;High Safety;0.07;High Safety;0.02;High Safety;0.01;High Safety;0.06;High Safety;0.01;High Safety;0.01;High Safety;0.01;High Safety;0;High Safety;0;High Safety;0.01;High Safety;0.71;Medium Toxicity;0.15;High Safety;0.5;Low Toxicity;0.6;Low Toxicity;0.86;High Toxicity;0.72;Medium Toxicity;0.03;High Safety;0;High Safety;0.01;High Safety;0.46;Low Safety;0.05;High Safety;0.36;Low Safety;0.02;High Safety;0.4;Low Safety;0.81;Medium Toxicity;0.66;Low Toxicity;0;High Safety
ClC(=O)C1=CC=CC=C1;C19168;82275;Benzoyl chloride;0;High Safety;0;High Safety;0.02;High Safety;0;High Safety;0.07;High Safety;0.01;High Safety;0.02;High Safety;0;High Safety;0;High Safety;0.01;High Safety;0.01;High Safety;0;High Safety;0;High Safety;0.01;High Safety;1;High Toxicity;0.1;High Safety;0.5;Low Toxicity;0.64;Low Toxicity;0.91;High Toxicity;0.01;High Safety;0.4;Low Safety;0.69;Medium Toxicity;0.01;High Safety;0.7;Medium Toxicity;0;High Safety;0.04;High Safety;0.14;High Safety;0.34;Low Safety;1;High Toxicity;1;High Toxicity;0.12;High Safety
ClC(Cl)(Cl)C(Cl)(Cl)Cl;C19248;39227;Hexachloroethane;0;High Safety;0.07;High Safety;0;High Safety;0;High Safety;0.07;High Safety;0;High Safety;0.02;High Safety;0;High Safety;0.06;High Safety;0.05;High Safety;0.01;High Safety;0;High Safety;0.01;High Safety;0.13;High Safety;0;High Safety;0.15;High Safety;0.5;Low Toxicity;0.92;High Toxicity;0.99;High Toxicity;1;High Toxicity;0.01;High Safety;1;High Toxicity;0.21;Medium Safety;0.6;Low Toxicity;0.11;High Safety;0.56;Low Toxicity;0.02;High Safety;0.45;Low Safety;0.76;Medium Toxicity;0.59;Low Toxicity;0;High Safety
ClC(Cl)(Cl)Cl;C07561;27385;Carbon tetrachloride;0;High Safety;0.07;High Safety;0;High Safety;0;High Safety;0.08;High Safety;0.03;High Safety;0.02;High Safety;0;High Safety;0;High Safety;0.03;High Safety;0;High Safety;0;High Safety;0;High Safety;0.02;High Safety;0;High Safety;0.15;High Safety;0.5;Low Toxicity;0.75;Medium Toxicity;0.96;High Toxicity;0.87;High Toxicity;0.01;High Safety;0;High Safety;0.03;High Safety;0.45;Low Safety;0.12;High Safety;0.39;Low Safety;0.02;High Safety;0.55;Low Toxicity;0.72;Medium Toxicity;0.56;Low Toxicity;0;High Safety
ClC(Cl)=C(C1=CC=C(Cl)C=C1)C1=CC=C(Cl)C=C1;C04596;16598;1.1-Dichloro-2.2-bis(4-chlorophenyl)ethylene;0;High Safety;0;High Safety;0.07;High Safety;0;High Safety;0.25;Medium Safety;0.05;High Safety;0.03;High Safety;0.03;High Safety;0.11;High Safety;0.75;Medium Toxicity;0.01;High Safety;0;High Safety;0.87;High Toxicity;0.11;High Safety;0;High Safety;0.15;High Safety;0.5;Low Toxicity;1;High Toxicity;1;High Toxicity;0.83;Medium Toxicity;0.01;High Safety;0.98;High Toxicity;0.82;Medium Toxicity;0.88;High Toxicity;0.2;Medium Safety;0.15;High Safety;0.18;Medium Safety;0.49;Low Safety;0.98;High Toxicity;0.65;Low Toxicity;0.23;Medium Safety
ClC(Cl)=C(Cl)Cl;C06789;17300;Tetrachloroethene;0;High Safety;0;High Safety;0;High Safety;0;High Safety;0.03;High Safety;0;High Safety;0.02;High Safety;0;High Safety;0;High Safety;0.11;High Safety;0.04;High Safety;0;High Safety;0.04;High Safety;0.06;High Safety;0;High Safety;0.15;High Safety;0.5;Low Toxicity;0.96;High Toxicity;0.88;High Toxicity;0.87;High Toxicity;0.01;High Safety;1;High Toxicity;0.01;High Safety;0.3;Medium Safety;0.12;High Safety;0.39;Low Safety;0.02;High Safety;0.48;Low Safety;0.98;High Toxicity;0.92;High Toxicity;0;High Safety
ClC(Cl)C(Cl)(Cl)SN1C(=O)C2CC=CCC2C1=O;C18754;81938;Captafol;0;High Safety;0;High Safety;0.01;High Safety;0.01;High Safety;0.09;High Safety;0.02;High Safety;0.03;High Safety;0.09;High Safety;0.12;High Safety;0.65;Low Toxicity;0.02;High Safety;1;High Toxicity;0.76;Medium Toxicity;0.18;Medium Safety;0;High Safety;0.12;High Safety;0.51;Low Toxicity;0.78;Medium Toxicity;0.91;High Toxicity;0.44;Low Safety;0;High Safety;0.81;Medium Toxicity;0.02;High Safety;0.72;Medium Toxicity;0.07;High Safety;0.19;Medium Safety;0.27;Medium Safety;0.34;Low Safety;0.4;Low Safety;0.26;Medium Safety;1;High Toxicity
ClC(Cl)C(Cl)Cl;C19534;36026;1.1.2.2-Tetrachloroethane;0.05;High Safety;0;High Safety;0;High Safety;0;High Safety;0.06;High Safety;0;High Safety;0.02;High Safety;0;High Safety;0;High Safety;0;High Safety;0.01;High Safety;0;High Safety;0.01;High Safety;0.02;High Safety;0;High Safety;0.15;High Safety;0.5;Low Toxicity;0.93;High Toxicity;0.97;High Toxicity;0.84;High Toxicity;0.02;High Safety;0;High Safety;0.02;High Safety;0.47;Low Safety;0.06;High Safety;0.5;Low Toxicity;0.02;High Safety;0.44;Low Safety;0.8;Medium Toxicity;0.73;Medium Toxicity;0.01;High Safety
ClC=C;C06793;28509;Vinyl chloride;0;High Safety;0.07;High Safety;0;High Safety;0;High Safety;0.07;High Safety;0;High Safety;0.01;High Safety;0.12;High Safety;0;High Safety;0.07;High Safety;0.01;High Safety;0;High Safety;0.01;High Safety;0.02;High Safety;1;High Toxicity;0.15;High Safety;0.5;Low Toxicity;0.31;Medium Safety;0.61;Low Toxicity;0.57;Low Toxicity;0.33;Medium Safety;0.49;Low Safety;0.01;High Safety;0.48;Low Safety;0.04;High Safety;0.37;Low Safety;0.02;High Safety;0.32;Medium Safety;0.83;Medium Toxicity;0.58;Low Toxicity;0;High Safety
ClC=C(Cl)Cl;C06790;16602;Trichloroethene;0;High Safety;0;High Safety;0.01;High Safety;0;High Safety;0.03;High Safety;0.01;High Safety;0.01;High Safety;0.02;High Safety;0;High Safety;0.07;High Safety;0.05;High Safety;0;High Safety;0;High Safety;0.01;High Safety;0;High Safety;0.15;High Safety;0.5;Low Toxicity;0.94;High Toxicity;0.78;Medium Toxicity;0.85;High Toxicity;0.02;High Safety;1;High Toxicity;0.01;High Safety;0.38;Low Safety;0.08;High Safety;0.36;Low Safety;0.02;High Safety;0.38;Low Safety;0.98;High Toxicity;0.93;High Toxicity;1;High Toxicity
ClC1(Cl)C2(Cl)C3(Cl)C4(Cl)C(=O)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl;C01792;16548;Chlordecone;0;High Safety;0.05;High Safety;0.03;High Safety;0.06;High Safety;0.08;High Safety;0.06;High Safety;0.07;High Safety;0.03;High Safety;0.15;High Safety;0.37;Low Safety;0.04;High Safety;0.3;Medium Safety;0.5;Low Toxicity;0.02;High Safety;0;High Safety;0.1;High Safety;0.5;Low Toxicity;0.94;High Toxicity;0.91;High Toxicity;0.95;High Toxicity;0.01;High Safety;1;High Toxicity;0.17;Medium Safety;0.68;Medium Toxicity;0.08;High Safety;0.36;Low Safety;0.39;Low Safety;0.41;Low Safety;0.99;High Toxicity;0.36;Low Safety;0.22;Medium Safety
ClC1=C(Cl)C2(Cl)C3COS(=O)OCC3C1(Cl)C2(Cl)Cl;C11090;4791;Endosulfan;0;High Safety;0;High Safety;0.01;High Safety;0.2;Medium Safety;0.07;High Safety;0.03;High Safety;0.02;High Safety;0.02;High Safety;0.17;Medium Safety;0.96;High Toxicity;0.03;High Safety;0;High Safety;0.61;Low Toxicity;0.04;High Safety;0;High Safety;0.9;High Toxicity;0.5;Low Toxicity;0.88;High Toxicity;0.93;High Toxicity;1;High Toxicity;0.01;High Safety;0.91;High Toxicity;0.96;High Toxicity;0.69;Medium Toxicity;0.06;High Safety;0.23;Medium Safety;0.57;Low Toxicity;0.35;Low Safety;0.97;High Toxicity;0.15;High Safety;0;High Safety
Clc1c(Cl)c(C#N)c(Cl)c(C#N)c1Cl;C11037;3639;Chlorothalonil;0;High Safety;0.03;High Safety;0.03;High Safety;0.14;High Safety;0.07;High Safety;0.56;Low Toxicity;0.02;High Safety;0.24;Medium Safety;0.34;Low Safety;0.32;Medium Safety;0.61;Low Toxicity;1;High Toxicity;0.18;Medium Safety;0.62;Low Toxicity;0;High Safety;0.15;High Safety;0.5;Low Toxicity;0.77;Medium Toxicity;0.93;High Toxicity;0;High Safety;0;High Safety;1;High Toxicity;0.01;High Safety;1;High Toxicity;0.12;High Safety;0.21;Medium Safety;0.67;Medium Toxicity;0.5;Low Toxicity;0.98;High Toxicity;0.52;Low Toxicity;1;High Toxicity
ClC1C=CC2C1C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl;C14185;34785;Heptachlor;0;High Safety;0;High Safety;0.01;High Safety;0.04;High Safety;0.09;High Safety;0.05;High Safety;0.02;High Safety;0.09;High Safety;0.17;Medium Safety;0.83;Medium Toxicity;0.01;High Safety;0.4;Low Safety;0.94;High Toxicity;0.04;High Safety;0;High Safety;0.15;High Safety;0.5;Low Toxicity;0.93;High Toxicity;0.94;High Toxicity;0.99;High Toxicity;0.01;High Safety;1;High Toxicity;0.97;High Toxicity;0.8;Medium Toxicity;0.06;High Safety;0.18;Medium Safety;0.73;Medium Toxicity;0.37;Low Safety;0.96;High Toxicity;0.52;Low Toxicity;0;High Safety
Clc1cc2Oc3cc(Cl)c(Cl)cc3Oc2cc1Cl;C07557;28119;2.3.7.8-Tetrachlorodibenzodioxin;0;High Safety;0;High Safety;0.49;Low Safety;0.1;High Safety;0.11;High Safety;0.05;High Safety;0.03;High Safety;0.03;High Safety;0.23;Medium Safety;0.68;Medium Toxicity;0.21;Medium Safety;0.03;High Safety;0.35;Low Safety;0.17;Medium Safety;0.32;Medium Safety;0.15;High Safety;0.5;Low Toxicity;0.96;High Toxicity;1;High Toxicity;0.99;High Toxicity;0.01;High Safety;0.96;High Toxicity;0.34;Low Safety;0.71;Medium Toxicity;0.05;High Safety;0.18;Medium Safety;0.02;High Safety;0.39;Low Safety;0.97;High Toxicity;0.18;Medium Safety;0.26;Medium Safety
Clc1ccc(c(Cl)c1)-c1ccc(Cl)cc1Cl;C14247;34204;2.2'.4.4'-Tetrachlorobiphenyl;0.02;High Safety;0;High Safety;0.31;Medium Safety;0.16;High Safety;0.18;Medium Safety;0.16;High Safety;0.03;High Safety;0.46;Low Safety;0.23;Medium Safety;0.28;Medium Safety;0.08;High Safety;0.08;High Safety;0.43;Low Safety;0.18;Medium Safety;0.16;High Safety;0.15;High Safety;0.49;Low Safety;0.99;High Toxicity;1;High Toxicity;0.97;High Toxicity;0.02;High Safety;1;High Toxicity;0.91;High Toxicity;0.87;High Toxicity;0.1;High Safety;0.35;Low Safety;0.23;Medium Safety;0.43;Low Safety;0.98;High Toxicity;0.83;Medium Toxicity;0.23;Medium Safety
Clc1ccc(cc1)-c1ccc(Cl)cc1;C14248;34364;4.4'-Dichlorobiphenyl;0;High Safety;0;High Safety;0.05;High Safety;0.11;High Safety;0.25;Medium Safety;0.01;High Safety;0.03;High Safety;0.01;High Safety;0.25;Medium Safety;0.22;Medium Safety;0.02;High Safety;0;High Safety;0.42;Low Safety;0.06;High Safety;0.22;Medium Safety;0.15;High Safety;0.5;Low Toxicity;0.99;High Toxicity;0.99;High Toxicity;0.53;Low Toxicity;0.04;High Safety;1;High Toxicity;0.05;High Safety;0.71;Medium Toxicity;0.14;High Safety;0.1;High Safety;0.2;Medium Safety;0.28;Medium Safety;0.98;High Toxicity;0.92;High Toxicity;0.13;High Safety
Clc1ccc(cc1)C(c1ccc(Cl)cc1)C(Cl)(Cl)Cl;C04623;16130;DDT;0;High Safety;0;High Safety;0.11;High Safety;0;High Safety;0.14;High Safety;0.05;High Safety;0.04;High Safety;0.34;Low Safety;0.13;High Safety;0.17;Medium Safety;0.02;High Safety;0;High Safety;0.93;High Toxicity;0.2;Medium Safety;0;High Safety;0.15;High Safety;0.5;Low Toxicity;0.97;High Toxicity;0.99;High Toxicity;1;High Toxicity;0.01;High Safety;1;High Toxicity;0.98;High Toxicity;0.87;High Toxicity;0.12;High Safety;0.16;High Safety;0;High Safety;0.49;Low Safety;0.97;High Toxicity;0.61;Low Toxicity;0;High Safety
Clc1ccc(cc1Cl)-c1cc(Cl)c(Cl)c(Cl)c1;C14573;34317;3.3'.4.4'.5-Pentachlorobiphenyl;0.05;High Safety;0;High Safety;0.17;Medium Safety;0.38;Low Safety;0.22;Medium Safety;0.49;Low Safety;0.52;Low Toxicity;0.6;Low Toxicity;0.18;Medium Safety;0.18;Medium Safety;0.06;High Safety;0.04;High Safety;0.52;Low Toxicity;0.19;Medium Safety;0.1;High Safety;0.15;High Safety;0.5;Low Toxicity;1;High Toxicity;0.99;High Toxicity;1;High Toxicity;0.01;High Safety;1;High Toxicity;0.99;High Toxicity;0.82;Medium Toxicity;0.09;High Safety;0.12;High Safety;0.2;Medium Safety;0.35;Low Safety;0.98;High Toxicity;0.65;Low Toxicity;0.13;High Safety
Clc1ccc(Cl)c(c1)-c1cc(Cl)ccc1Cl;C14199;34206;2.2'.5.5'-Tetrachlorobiphenyl;0.02;High Safety;0;High Safety;0.31;Medium Safety;0.11;High Safety;0.18;Medium Safety;0.16;High Safety;0.03;High Safety;0.46;Low Safety;0.23;Medium Safety;0.24;Medium Safety;0.06;High Safety;0.06;High Safety;0.43;Low Safety;0.18;Medium Safety;0.16;High Safety;0.15;High Safety;0.49;Low Safety;0.96;High Toxicity;1;High Toxicity;0.97;High Toxicity;0.02;High Safety;1;High Toxicity;0.91;High Toxicity;0.87;High Toxicity;0.1;High Safety;0.36;Low Safety;0.17;Medium Safety;0.44;Low Safety;0.98;High Toxicity;0.83;Medium Toxicity;0.25;Medium Safety
Clc1ccc(Cl)c(c1)-c1ccccc1;C14354;34246;2.5-Dichlorobiphenyl;0.03;High Safety;0;High Safety;0.06;High Safety;0.16;High Safety;0.19;Medium Safety;0.08;High Safety;0.03;High Safety;0.02;High Safety;0.25;Medium Safety;0.26;Medium Safety;0.09;High Safety;0.02;High Safety;0.31;Medium Safety;0.08;High Safety;0.2;Medium Safety;0.15;High Safety;0.5;Low Toxicity;0.97;High Toxicity;1;High Toxicity;0.49;Low Safety;0.04;High Safety;0.98;High Toxicity;0.05;High Safety;0.83;Medium Toxicity;0.08;High Safety;0.15;High Safety;0.68;Medium Toxicity;0.33;Medium Safety;0.96;High Toxicity;0.96;High Toxicity;0.28;Medium Safety
Clc1ccc(Cl)c(Cl)c1;C06594;28222;1.2.4-Trichlorobenzene;0;High Safety;0;High Safety;0.04;High Safety;0;High Safety;0.04;High Safety;0;High Safety;0.02;High Safety;0;High Safety;0;High Safety;0.05;High Safety;0.02;High Safety;0;High Safety;0.01;High Safety;0.02;High Safety;0;High Safety;0.15;High Safety;0.49;Low Safety;1;High Toxicity;1;High Toxicity;0.91;High Toxicity;0.01;High Safety;1;High Toxicity;0.98;High Toxicity;0.91;High Toxicity;0.02;High Safety;0.15;High Safety;0.29;Medium Safety;0.36;Low Safety;1;High Toxicity;0.99;High Toxicity;0;High Safety
Clc1ccc(Cl)cc1;C07092;28618;1.4-Dichlorobenzene;0;High Safety;0;High Safety;0.04;High Safety;0;High Safety;0.04;High Safety;0;High Safety;0.02;High Safety;0;High Safety;0;High Safety;0.04;High Safety;0.01;High Safety;0;High Safety;0;High Safety;0.01;High Safety;0.07;High Safety;0.15;High Safety;0.5;Low Toxicity;0.95;High Toxicity;0.99;High Toxicity;0.51;Low Toxicity;0.02;High Safety;1;High Toxicity;0.87;High Toxicity;0.84;High Toxicity;0.04;High Safety;0.12;High Safety;0.1;High Safety;0.34;Low Safety;1;High Toxicity;0.98;High Toxicity;0;High Safety
Clc1cccc(c1)-c1cc(Cl)c(Cl)c(Cl)c1Cl;C14365;34216;2.3.3'.4.5-Pentachlorobiphenyl;0.09;High Safety;0;High Safety;0.13;High Safety;0.09;High Safety;0.2;Medium Safety;0.1;High Safety;0.51;Low Toxicity;0.59;Low Toxicity;0.18;Medium Safety;0.36;Low Safety;0.04;High Safety;0.07;High Safety;0.75;Medium Toxicity;0.15;High Safety;0.16;High Safety;0.15;High Safety;0.5;Low Toxicity;1;High Toxicity;1;High Toxicity;0.98;High Toxicity;0.01;High Safety;1;High Toxicity;0.03;High Safety;0.92;High Toxicity;0.1;High Safety;0.13;High Safety;0.74;Medium Toxicity;0.45;Low Safety;0.97;High Toxicity;0.71;Medium Toxicity;0.32;Medium Safety
Clc1cccc(c1)-c1cc(Cl)ccc1Cl;C14358;34215;2.3'.5-Trichlorobiphenyl;0.16;High Safety;0;High Safety;0.1;High Safety;0.05;High Safety;0.15;High Safety;0.1;High Safety;0.03;High Safety;0.13;High Safety;0.09;High Safety;0.29;Medium Safety;0.06;High Safety;0.01;High Safety;0.68;Medium Toxicity;0.27;Medium Safety;0.2;Medium Safety;0.15;High Safety;0.5;Low Toxicity;0.99;High Toxicity;1;High Toxicity;0.89;High Toxicity;0.03;High Safety;0.99;High Toxicity;0.01;High Safety;0.88;High Toxicity;0.06;High Safety;0.21;Medium Safety;0.28;Medium Safety;0.31;Medium Safety;0.96;High Toxicity;0.86;High Toxicity;0.27;Medium Safety
Clc1cccc(Cl)c1;C19397;36693;1.3-Dichlorobenzene;0;High Safety;0;High Safety;0.02;High Safety;0;High Safety;0.04;High Safety;0;High Safety;0.02;High Safety;0;High Safety;0;High Safety;0.01;High Safety;0;High Safety;0;High Safety;0;High Safety;0.01;High Safety;0;High Safety;0.15;High Safety;0.49;Low Safety;0.92;High Toxicity;0.99;High Toxicity;0.36;Low Safety;0.01;High Safety;1;High Toxicity;0.77;Medium Toxicity;0.81;Medium Toxicity;0.02;High Safety;0.15;High Safety;0.23;Medium Safety;0.42;Low Safety;1;High Toxicity;0.99;High Toxicity;0.1;High Safety
Clc1cccc(Cl)c1-c1ccccc1;C14355;34249;2.6-Dichlorobiphenyl;0.02;High Safety;0;High Safety;0.05;High Safety;0.09;High Safety;0.22;Medium Safety;0.28;Medium Safety;0.03;High Safety;0.02;High Safety;0.25;Medium Safety;0.22;Medium Safety;0.1;High Safety;0;High Safety;0.62;Low Toxicity;0.11;High Safety;0.22;Medium Safety;0.15;High Safety;0.5;Low Toxicity;0.98;High Toxicity;1;High Toxicity;0.62;Low Toxicity;0.04;High Safety;0.95;High Toxicity;0.03;High Safety;0.76;Medium Toxicity;0.07;High Safety;0.1;High Safety;0;High Safety;0.37;Low Safety;0.98;High Toxicity;0.98;High Toxicity;0.29;Medium Safety
Clc1ccccc1;C06990;28097;Chlorobenzene;0;High Safety;0;High Safety;0.01;High Safety;0;High Safety;0.06;High Safety;0;High Safety;0.02;High Safety;0;High Safety;0;High Safety;0.01;High Safety;0;High Safety;0;High Safety;0;High Safety;0.01;High Safety;0;High Safety;0.15;High Safety;0.5;Low Toxicity;0.92;High Toxicity;1;High Toxicity;0.26;Medium Safety;0.07;High Safety;1;High Toxicity;0.02;High Safety;0;High Safety;0;High Safety;0.14;High Safety;0.19;Medium Safety;0.54;Low Toxicity;1;High Toxicity;1;High Toxicity;0;High Safety
Clc1ccccc1Cl;C14328;35290;1.2-Dichlorobenzene;0;High Safety;0;High Safety;0.03;High Safety;0;High Safety;0.05;High Safety;0.01;High Safety;0.02;High Safety;0.01;High Safety;0;High Safety;0.04;High Safety;0.01;High Safety;0;High Safety;0;High Safety;0.02;High Safety;0;High Safety;0.15;High Safety;0.5;Low Toxicity;0.96;High Toxicity;1;High Toxicity;0.53;Low Toxicity;0.01;High Safety;0.82;Medium Toxicity;0.79;Medium Toxicity;0.49;Low Safety;0.02;High Safety;0.1;High Safety;0.31;Medium Safety;0.48;Low Safety;1;High Toxicity;0.98;High Toxicity;0;High Safety
ClCC(Br)CBr;C14336;34044;1.2-Dibromo-3-chloropropane;0;High Safety;0;High Safety;0;High Safety;0;High Safety;0.07;High Safety;0;High Safety;0.02;High Safety;0.02;High Safety;0.01;High Safety;0.11;High Safety;0.03;High Safety;0;High Safety;0.06;High Safety;0.02;High Safety;1;High Toxicity;0.15;High Safety;0.5;Low Toxicity;0.8;Medium Toxicity;0.98;High Toxicity;0.86;High Toxicity;0.02;High Safety;0.33;Medium Safety;0.01;High Safety;0.42;Low Safety;0.1;High Safety;0.48;Low Safety;0.13;High Safety;0.41;Low Safety;0.99;High Toxicity;0.97;High Toxicity;0.16;High Safety
ClCC(Cl)(Cl)Cl;C14705;34024;1.1.1.2-Tetrachloroethane;0;High Safety;0;High Safety;0;High Safety;0;High Safety;0.07;High Safety;0;High Safety;0.02;High Safety;0.01;High Safety;0.01;High Safety;0.03;High Safety;0;High Safety;0;High Safety;0.01;High Safety;0.02;High Safety;0;High Safety;0.15;High Safety;0.5;Low Toxicity;0.73;Medium Toxicity;0.94;High Toxicity;0.85;High Toxicity;0;High Safety;0.29;Medium Safety;0.02;High Safety;0.45;Low Safety;0.11;High Safety;0.6;Low Toxicity;0.02;High Safety;0.35;Low Safety;0.98;High Toxicity;0.97;High Toxicity;0.19;Medium Safety
ClCC(Cl)Cl;C19536;36018;1.1.2-Trichloroethane;0;High Safety;0;High Safety;0;High Safety;0;High Safety;0.07;High Safety;0;High Safety;0.02;High Safety;0;High Safety;0;High Safety;0.03;High Safety;0.01;High Safety;0;High Safety;0;High Safety;0.03;High Safety;0;High Safety;0.15;High Safety;0.5;Low Toxicity;0.29;Medium Safety;0.85;High Toxicity;0.81;Medium Toxicity;0.02;High Safety;0;High Safety;0;High Safety;0.43;Low Safety;0.04;High Safety;0.45;Low Safety;0.02;High Safety;0.37;Low Safety;0.98;High Toxicity;0.98;High Toxicity;0.12;High Safety
ClCC1CO1;C14449;37144;Epichlorohydrin;0;High Safety;0;High Safety;0.01;High Safety;0;High Safety;0.05;High Safety;0;High Safety;0.01;High Safety;0.01;High Safety;0;High Safety;0;High Safety;0;High Safety;0;High Safety;0;High Safety;0;High Safety;1;High Toxicity;0.15;High Safety;0.5;Low Toxicity;0.04;High Safety;0.47;Low Safety;0.5;Low Toxicity;0.27;Medium Safety;0.22;Medium Safety;0;High Safety;0.68;Medium Toxicity;0.02;High Safety;0.29;Medium Safety;0.29;Medium Safety;0.39;Low Safety;0.97;High Toxicity;0.97;High Toxicity;0.19;Medium Safety
