ko;genesymbol;genename;cpd;compoundclass;referenceAG;compoundname;enzyme_activity
K17067;mdo;formaldehyde dismutase / methanol dehydrogenase ;C00067;Aliphatic;ATSDR;Formaldehyde;dismutase
K17067;mdo;formaldehyde dismutase / methanol dehydrogenase ;C00067;Aliphatic;PSL;Formaldehyde;dismutase
K17068;fdm;formaldehyde dismutase ;C00067;Aliphatic;IARC1;Formaldehyde;dismutase
K17068;fdm;formaldehyde dismutase ;C00067;Aliphatic;ATSDR;Formaldehyde;dismutase
K17068;fdm;formaldehyde dismutase ;C00067;Aliphatic;PSL;Formaldehyde;dismutase
K17070;dcmA;dichloromethane dehalogenase ;C00067;Aliphatic;PSL;Formaldehyde;dehalogenase
K17070;dcmA;dichloromethane dehalogenase ;C02271;Chlorinated;WFD;Dichloromethane;dehalogenase
K17070;dcmA;dichloromethane dehalogenase ;C02271;Aliphatic;EPA;Dichloromethane;dehalogenase
K17070;dcmA;dichloromethane dehalogenase ;C18447;Halogenated;EPA;Methyl bromide;dehalogenase
K17070;dcmA;dichloromethane dehalogenase ;C02271;Chlorinated;EPC;Dichloromethane;dehalogenase
K17070;dcmA;dichloromethane dehalogenase ;C02271;Chlorinated;IARC2A;Dichloromethane;dehalogenase
K17070;dcmA;dichloromethane dehalogenase ;C19536;Aliphatic;ATSDR;1,1,2-Trichloroethane;dehalogenase
K17070;dcmA;dichloromethane dehalogenase ;C19536;Chlorinated;EPA;1,1,2-Trichloroethane;dehalogenase
K17070;dcmA;dichloromethane dehalogenase ;C19536;Aliphatic;EPA;1,1,2-Trichloroethane;dehalogenase
K17070;dcmA;dichloromethane dehalogenase ;C00067;Aliphatic;IARC1;Formaldehyde;dehalogenase
K17070;dcmA;dichloromethane dehalogenase ;C02271;Aliphatic;WFD;Dichloromethane;dehalogenase
K17070;dcmA;dichloromethane dehalogenase ;C19536;Chlorinated;ATSDR;1,1,2-Trichloroethane;dehalogenase
K17070;dcmA;dichloromethane dehalogenase ;C00067;Aliphatic;ATSDR;Formaldehyde;dehalogenase
K17070;dcmA;dichloromethane dehalogenase ;C02271;Chlorinated;EPA;Dichloromethane;dehalogenase
K17070;dcmA;dichloromethane dehalogenase ;C02271;Chlorinated;ATSDR;Dichloromethane;dehalogenase
K17070;dcmA;dichloromethane dehalogenase ;C02271;Chlorinated;CONAMA;Dichloromethane;dehalogenase
K17070;dcmA;dichloromethane dehalogenase ;C18447;Aliphatic;EPA;Methyl bromide;dehalogenase
K17070;dcmA;dichloromethane dehalogenase ;C02271;Chlorinated;PSL;Dichloromethane;dehalogenase
K17070;dcmA;dichloromethane dehalogenase ;C02271;Aliphatic;IARC2A;Dichloromethane;dehalogenase
K17070;dcmA;dichloromethane dehalogenase ;C02271;Aliphatic;PSL;Dichloromethane;dehalogenase
K17070;dcmA;dichloromethane dehalogenase ;C02271;Aliphatic;EPC;Dichloromethane;dehalogenase
K17070;dcmA;dichloromethane dehalogenase ;C02271;Aliphatic;ATSDR;Dichloromethane;dehalogenase
K17070;dcmA;dichloromethane dehalogenase ;C02271;Aliphatic;CONAMA;Dichloromethane;dehalogenase
K17100;DAS;dihydroxyacetone synthase ;C00067;Aliphatic;IARC1;Formaldehyde;synthase
K17100;DAS;dihydroxyacetone synthase ;C00067;Aliphatic;PSL;Formaldehyde;synthase
K17100;DAS;dihydroxyacetone synthase ;C00067;Aliphatic;ATSDR;Formaldehyde;synthase
K17193;UGT79B1;anthocyanidin 3-O-glucoside 2'''-O-xylosyltransferase ;C14687;Aliphatic;PSL;2-Ethoxyethanol;xylosyltransferase
K17217;mccB;cystathionine gamma-lyase / homocysteine desulfhydrase ;C00014;Nitrogen-containing;PSL;Ammonia;lyase
K17217;mccB;cystathionine gamma-lyase / homocysteine desulfhydrase ;C07313;Nitrogen-containing;IARC2B;Streptozocin;lyase
K17217;mccB;cystathionine gamma-lyase / homocysteine desulfhydrase ;C07313;Aliphatic;IARC2B;Streptozocin;lyase
K17217;mccB;cystathionine gamma-lyase / homocysteine desulfhydrase ;C00014;Nitrogen-containing;ATSDR;Ammonia;lyase
K17228;sfnG;dimethylsulfone monooxygenase ;C19534;Aliphatic;ATSDR;1,1,2,2-Tetrachloroethane;monooxygenase
K17228;sfnG;dimethylsulfone monooxygenase ;C19534;Aliphatic;IARC2B;1,1,2,2-Tetrachloroethane;monooxygenase
K17228;sfnG;dimethylsulfone monooxygenase ;C00067;Aliphatic;ATSDR;Formaldehyde;monooxygenase
K17228;sfnG;dimethylsulfone monooxygenase ;C19534;Chlorinated;ATSDR;1,1,2,2-Tetrachloroethane;monooxygenase
K17228;sfnG;dimethylsulfone monooxygenase ;C19534;Aliphatic;EPA;1,1,2,2-Tetrachloroethane;monooxygenase
K17228;sfnG;dimethylsulfone monooxygenase ;C19534;Aliphatic;PSL;1,1,2,2-Tetrachloroethane;monooxygenase
K17228;sfnG;dimethylsulfone monooxygenase ;C00067;Aliphatic;IARC1;Formaldehyde;monooxygenase
K17228;sfnG;dimethylsulfone monooxygenase ;C19534;Chlorinated;PSL;1,1,2,2-Tetrachloroethane;monooxygenase
K17228;sfnG;dimethylsulfone monooxygenase ;C00067;Aliphatic;PSL;Formaldehyde;monooxygenase
K17228;sfnG;dimethylsulfone monooxygenase ;C19534;Chlorinated;IARC2B;1,1,2,2-Tetrachloroethane;monooxygenase
K17228;sfnG;dimethylsulfone monooxygenase ;C19534;Chlorinated;EPA;1,1,2,2-Tetrachloroethane;monooxygenase
K17285;SELENBP1;methanethiol oxidase ;C00067;Aliphatic;IARC1;Formaldehyde;oxidase
K17285;SELENBP1;methanethiol oxidase ;C00067;Aliphatic;ATSDR;Formaldehyde;oxidase
K17285;SELENBP1;methanethiol oxidase ;C00067;Aliphatic;PSL;Formaldehyde;oxidase
K17468;dgaE;D-glucosaminate-6-phosphate ammonia-lyase ;C00014;Nitrogen-containing;ATSDR;Ammonia;lyase
K17468;dgaE;D-glucosaminate-6-phosphate ammonia-lyase ;C00014;Nitrogen-containing;PSL;Ammonia;lyase
K17624;engCP;endo-alpha-N-acetylgalactosaminidase ;C11146;Organometallic;EPC;Methylmercury chloride;acetylgalactosaminidase
K17624;engCP;endo-alpha-N-acetylgalactosaminidase ;C11146;Chlorinated;EPC;Methylmercury chloride;acetylgalactosaminidase
K17624;engCP;endo-alpha-N-acetylgalactosaminidase ;C11146;Chlorinated;IARC2B;Methylmercury chloride;acetylgalactosaminidase
K17624;engCP;endo-alpha-N-acetylgalactosaminidase ;C11146;Organometallic;WFD;Methylmercury chloride;acetylgalactosaminidase
K17624;engCP;endo-alpha-N-acetylgalactosaminidase ;C11146;Chlorinated;WFD;Methylmercury chloride;acetylgalactosaminidase
K17624;engCP;endo-alpha-N-acetylgalactosaminidase ;C11146;Organometallic;IARC2B;Methylmercury chloride;acetylgalactosaminidase
K17649;OMTB;demethylsterigmatocystin 6-O-methyltransferase ;C00961;Aromatic;IARC2B;Sterigmatocystin;methyltransferase
K17650;OMTA;sterigmatocystin 8-O-methyltransferase ;C00961;Aromatic;IARC2B;Sterigmatocystin;methyltransferase
K17651;ORDA;aflatoxin B synthase ;C06800;Aromatic;IARC1;Aflatoxin B1;synthase
K17651;ORDA;aflatoxin B synthase ;C16753;Aromatic;IARC1;Aflatoxin B2;synthase
K17683;CYP2A6;cytochrome P450 family 2 subfamily A6 ;C00829;Polyaromatic;EPC;Naphthalene;cytochrome P450 family 2 subfamily A6
K17683;CYP2A6;cytochrome P450 family 2 subfamily A6 ;C00829;Polyaromatic;ATSDR;Naphthalene;cytochrome P450 family 2 subfamily A6
K17683;CYP2A6;cytochrome P450 family 2 subfamily A6 ;C19586;Aromatic;IARC1;Aflatoxin B1-exo-8,9-epoxide;cytochrome P450 family 2 subfamily A6
K17683;CYP2A6;cytochrome P450 family 2 subfamily A6 ;C16453;Aliphatic;IARC1;4-(N-Nitrosomethylamino)-1-(3-pyridyl)-1-butanone;cytochrome P450 family 2 subfamily A6
K17683;CYP2A6;cytochrome P450 family 2 subfamily A6 ;C16453;Nitrogen-containing;IARC1;4-(N-Nitrosomethylamino)-1-(3-pyridyl)-1-butanone;cytochrome P450 family 2 subfamily A6
K17683;CYP2A6;cytochrome P450 family 2 subfamily A6 ;C06800;Aromatic;IARC1;Aflatoxin B1;cytochrome P450 family 2 subfamily A6
K17683;CYP2A6;cytochrome P450 family 2 subfamily A6 ;C00829;Polyaromatic;CONAMA;Naphthalene;cytochrome P450 family 2 subfamily A6
K17683;CYP2A6;cytochrome P450 family 2 subfamily A6 ;C00829;Polyaromatic;EPA;Naphthalene;cytochrome P450 family 2 subfamily A6
K17683;CYP2A6;cytochrome P450 family 2 subfamily A6 ;C00829;Polyaromatic;WFD;Naphthalene;cytochrome P450 family 2 subfamily A6
K17683;CYP2A6;cytochrome P450 family 2 subfamily A6 ;C00829;Polyaromatic;IARC2B;Naphthalene;cytochrome P450 family 2 subfamily A6
K17685;CYP2A13;cytochrome P450 family 2 subfamily A13 ;C06790;Aliphatic;PSL;Trichloroethene;cytochrome P450 family 2 subfamily A13
K17685;CYP2A13;cytochrome P450 family 2 subfamily A13 ;C06790;Aliphatic;EPC;Trichloroethene;cytochrome P450 family 2 subfamily A13
K17685;CYP2A13;cytochrome P450 family 2 subfamily A13 ;C14866;Chlorinated;IARC2A;Chloral;cytochrome P450 family 2 subfamily A13
K17685;CYP2A13;cytochrome P450 family 2 subfamily A13 ;C07434;Nitrogen-containing;IARC2B;Phenobarbital;cytochrome P450 family 2 subfamily A13
K17685;CYP2A13;cytochrome P450 family 2 subfamily A13 ;C14866;Aliphatic;IARC2A;Chloral;cytochrome P450 family 2 subfamily A13
K17685;CYP2A13;cytochrome P450 family 2 subfamily A13 ;C07108;Polyaromatic;IARC1;Tamoxifen;cytochrome P450 family 2 subfamily A13
K17685;CYP2A13;cytochrome P450 family 2 subfamily A13 ;C06790;Chlorinated;IARC1;Trichloroethene;cytochrome P450 family 2 subfamily A13
K17685;CYP2A13;cytochrome P450 family 2 subfamily A13 ;C00829;Polyaromatic;CONAMA;Naphthalene;cytochrome P450 family 2 subfamily A13
K17685;CYP2A13;cytochrome P450 family 2 subfamily A13 ;C19312;Polyaromatic;EPA;Acenaphthene;cytochrome P450 family 2 subfamily A13
K17685;CYP2A13;cytochrome P450 family 2 subfamily A13 ;C07535;Polyaromatic;EPA;Benzo[a]pyrene;cytochrome P450 family 2 subfamily A13
K17685;CYP2A13;cytochrome P450 family 2 subfamily A13 ;C06790;Chlorinated;EPA;Trichloroethene;cytochrome P450 family 2 subfamily A13
K17685;CYP2A13;cytochrome P450 family 2 subfamily A13 ;C14343;Nitrogen-containing;WFD;Trifluralin;cytochrome P450 family 2 subfamily A13
K17685;CYP2A13;cytochrome P450 family 2 subfamily A13 ;C00829;Polyaromatic;EPC;Naphthalene;cytochrome P450 family 2 subfamily A13
K17685;CYP2A13;cytochrome P450 family 2 subfamily A13 ;C06790;Aliphatic;EPA;Trichloroethene;cytochrome P450 family 2 subfamily A13
K17685;CYP2A13;cytochrome P450 family 2 subfamily A13 ;C00067;Aliphatic;IARC1;Formaldehyde;cytochrome P450 family 2 subfamily A13
K17685;CYP2A13;cytochrome P450 family 2 subfamily A13 ;C19312;Polyaromatic;ATSDR;Acenaphthene;cytochrome P450 family 2 subfamily A13
K17685;CYP2A13;cytochrome P450 family 2 subfamily A13 ;C19586;Aromatic;IARC1;Aflatoxin B1-exo-8,9-epoxide;cytochrome P450 family 2 subfamily A13
K17685;CYP2A13;cytochrome P450 family 2 subfamily A13 ;C00067;Aliphatic;PSL;Formaldehyde;cytochrome P450 family 2 subfamily A13
K17685;CYP2A13;cytochrome P450 family 2 subfamily A13 ;C16453;Aliphatic;IARC1;4-(N-Nitrosomethylamino)-1-(3-pyridyl)-1-butanone;cytochrome P450 family 2 subfamily A13
K17685;CYP2A13;cytochrome P450 family 2 subfamily A13 ;C06790;Chlorinated;ATSDR;Trichloroethene;cytochrome P450 family 2 subfamily A13
K17685;CYP2A13;cytochrome P450 family 2 subfamily A13 ;C19594;Aromatic;IARC1;Aflatoxin-M1-8,9-epoxide;cytochrome P450 family 2 subfamily A13
K17685;CYP2A13;cytochrome P450 family 2 subfamily A13 ;C00829;Polyaromatic;ATSDR;Naphthalene;cytochrome P450 family 2 subfamily A13
K17685;CYP2A13;cytochrome P450 family 2 subfamily A13 ;C06604;Organophosphorus;IARC2B;Parathion;cytochrome P450 family 2 subfamily A13
K17685;CYP2A13;cytochrome P450 family 2 subfamily A13 ;C16038;Aromatic;IARC2B;2-Amino-1-methyl-6-phenylimidazo[4,5-b]pyridine;cytochrome P450 family 2 subfamily A13
K17685;CYP2A13;cytochrome P450 family 2 subfamily A13 ;C07535;Polyaromatic;ATSDR;Benzo[a]pyrene;cytochrome P450 family 2 subfamily A13
K17685;CYP2A13;cytochrome P450 family 2 subfamily A13 ;C14343;Nitrogen-containing;ATSDR;Trifluralin;cytochrome P450 family 2 subfamily A13
K17685;CYP2A13;cytochrome P450 family 2 subfamily A13 ;C14343;Aromatic;WFD;Trifluralin;cytochrome P450 family 2 subfamily A13
K17685;CYP2A13;cytochrome P450 family 2 subfamily A13 ;C16453;Nitrogen-containing;IARC1;4-(N-Nitrosomethylamino)-1-(3-pyridyl)-1-butanone;cytochrome P450 family 2 subfamily A13
K17685;CYP2A13;cytochrome P450 family 2 subfamily A13 ;C00067;Aliphatic;ATSDR;Formaldehyde;cytochrome P450 family 2 subfamily A13
K17685;CYP2A13;cytochrome P450 family 2 subfamily A13 ;C14343;Halogenated;EPC;Trifluralin;cytochrome P450 family 2 subfamily A13
K17685;CYP2A13;cytochrome P450 family 2 subfamily A13 ;C16756;Aromatic;IARC2B;Aflatoxin M1;cytochrome P450 family 2 subfamily A13
K17685;CYP2A13;cytochrome P450 family 2 subfamily A13 ;C14343;Nitrogen-containing;EPC;Trifluralin;cytochrome P450 family 2 subfamily A13
K17685;CYP2A13;cytochrome P450 family 2 subfamily A13 ;C16756;Aromatic;IARC1;Aflatoxin M1;cytochrome P450 family 2 subfamily A13
K17685;CYP2A13;cytochrome P450 family 2 subfamily A13 ;C06604;Aromatic;IARC2B;Parathion;cytochrome P450 family 2 subfamily A13
K17685;CYP2A13;cytochrome P450 family 2 subfamily A13 ;C07535;Polyaromatic;IARC1;Benzo[a]pyrene;cytochrome P450 family 2 subfamily A13
K17685;CYP2A13;cytochrome P450 family 2 subfamily A13 ;C07535;Polyaromatic;CONAMA;Benzo[a]pyrene;cytochrome P450 family 2 subfamily A13
K17685;CYP2A13;cytochrome P450 family 2 subfamily A13 ;C14343;Halogenated;ATSDR;Trifluralin;cytochrome P450 family 2 subfamily A13
K17685;CYP2A13;cytochrome P450 family 2 subfamily A13 ;C06790;Aliphatic;ATSDR;Trichloroethene;cytochrome P450 family 2 subfamily A13
K17685;CYP2A13;cytochrome P450 family 2 subfamily A13 ;C19595;Aromatic;IARC1;Aflatoxin B1-endo-8,9-epoxide;cytochrome P450 family 2 subfamily A13
K17685;CYP2A13;cytochrome P450 family 2 subfamily A13 ;C06790;Chlorinated;PSL;Trichloroethene;cytochrome P450 family 2 subfamily A13
K17685;CYP2A13;cytochrome P450 family 2 subfamily A13 ;C00829;Polyaromatic;WFD;Naphthalene;cytochrome P450 family 2 subfamily A13
K17685;CYP2A13;cytochrome P450 family 2 subfamily A13 ;C19585;Aromatic;IARC1;Aflatoxin Q1;cytochrome P450 family 2 subfamily A13
K17685;CYP2A13;cytochrome P450 family 2 subfamily A13 ;C07108;Nitrogen-containing;IARC1;Tamoxifen;cytochrome P450 family 2 subfamily A13
K17685;CYP2A13;cytochrome P450 family 2 subfamily A13 ;C06604;Aromatic;ATSDR;Parathion;cytochrome P450 family 2 subfamily A13
K17685;CYP2A13;cytochrome P450 family 2 subfamily A13 ;C16452;Aliphatic;IARC1;N'-Nitrosonornicotine;cytochrome P450 family 2 subfamily A13
K17685;CYP2A13;cytochrome P450 family 2 subfamily A13 ;C14343;Halogenated;WFD;Trifluralin;cytochrome P450 family 2 subfamily A13
K17685;CYP2A13;cytochrome P450 family 2 subfamily A13 ;C06604;Nitrogen-containing;ATSDR;Parathion;cytochrome P450 family 2 subfamily A13
K17685;CYP2A13;cytochrome P450 family 2 subfamily A13 ;C00829;Polyaromatic;EPA;Naphthalene;cytochrome P450 family 2 subfamily A13
K17685;CYP2A13;cytochrome P450 family 2 subfamily A13 ;C06790;Aliphatic;IARC1;Trichloroethene;cytochrome P450 family 2 subfamily A13
K17685;CYP2A13;cytochrome P450 family 2 subfamily A13 ;C07434;Aromatic;IARC2B;Phenobarbital;cytochrome P450 family 2 subfamily A13
K17685;CYP2A13;cytochrome P450 family 2 subfamily A13 ;C07535;Polyaromatic;WFD;Benzo[a]pyrene;cytochrome P450 family 2 subfamily A13
K17685;CYP2A13;cytochrome P450 family 2 subfamily A13 ;C00829;Polyaromatic;IARC2B;Naphthalene;cytochrome P450 family 2 subfamily A13
K17685;CYP2A13;cytochrome P450 family 2 subfamily A13 ;C16452;Nitrogen-containing;IARC1;N'-Nitrosonornicotine;cytochrome P450 family 2 subfamily A13
K17685;CYP2A13;cytochrome P450 family 2 subfamily A13 ;C14343;Aromatic;ATSDR;Trifluralin;cytochrome P450 family 2 subfamily A13
K17685;CYP2A13;cytochrome P450 family 2 subfamily A13 ;C06800;Aromatic;IARC1;Aflatoxin B1;cytochrome P450 family 2 subfamily A13
K17685;CYP2A13;cytochrome P450 family 2 subfamily A13 ;C07535;Polyaromatic;PSL;Benzo[a]pyrene;cytochrome P450 family 2 subfamily A13
K17685;CYP2A13;cytochrome P450 family 2 subfamily A13 ;C06790;Chlorinated;EPC;Trichloroethene;cytochrome P450 family 2 subfamily A13
K17685;CYP2A13;cytochrome P450 family 2 subfamily A13 ;C06604;Nitrogen-containing;IARC2B;Parathion;cytochrome P450 family 2 subfamily A13
K17685;CYP2A13;cytochrome P450 family 2 subfamily A13 ;C06604;Organophosphorus;ATSDR;Parathion;cytochrome P450 family 2 subfamily A13
K17685;CYP2A13;cytochrome P450 family 2 subfamily A13 ;C06790;Aliphatic;CONAMA;Trichloroethene;cytochrome P450 family 2 subfamily A13
K17685;CYP2A13;cytochrome P450 family 2 subfamily A13 ;C16038;Nitrogen-containing;IARC2B;2-Amino-1-methyl-6-phenylimidazo[4,5-b]pyridine;cytochrome P450 family 2 subfamily A13
K17685;CYP2A13;cytochrome P450 family 2 subfamily A13 ;C07535;Polyaromatic;EPC;Benzo[a]pyrene;cytochrome P450 family 2 subfamily A13
K17685;CYP2A13;cytochrome P450 family 2 subfamily A13 ;C14343;Aromatic;EPC;Trifluralin;cytochrome P450 family 2 subfamily A13
K17685;CYP2A13;cytochrome P450 family 2 subfamily A13 ;C06790;Chlorinated;CONAMA;Trichloroethene;cytochrome P450 family 2 subfamily A13
K17686;copA;P-type Cu+ transporter ;C00070;Metal;ATSDR;Copper;P-type Cu+ transporter
K17686;copA;P-type Cu+ transporter ;C00070;Metal;EPA;Copper;P-type Cu+ transporter
K17686;copA;P-type Cu+ transporter ;C00070;Metal;PSL;Copper;P-type Cu+ transporter
K17687;CYP4A11;cytochrome P450 family 4 subfamily A11 ;C07535;Polyaromatic;EPA;Benzo[a]pyrene;cytochrome P450 family 4 subfamily A11
K17687;CYP4A11;cytochrome P450 family 4 subfamily A11 ;C06790;Chlorinated;ATSDR;Trichloroethene;cytochrome P450 family 4 subfamily A11
K17687;CYP4A11;cytochrome P450 family 4 subfamily A11 ;C06790;Chlorinated;EPC;Trichloroethene;cytochrome P450 family 4 subfamily A11
K17687;CYP4A11;cytochrome P450 family 4 subfamily A11 ;C19312;Polyaromatic;EPA;Acenaphthene;cytochrome P450 family 4 subfamily A11
K17687;CYP4A11;cytochrome P450 family 4 subfamily A11 ;C06790;Chlorinated;EPA;Trichloroethene;cytochrome P450 family 4 subfamily A11
K17687;CYP4A11;cytochrome P450 family 4 subfamily A11 ;C14343;Halogenated;EPC;Trifluralin;cytochrome P450 family 4 subfamily A11
K17687;CYP4A11;cytochrome P450 family 4 subfamily A11 ;C00829;Polyaromatic;ATSDR;Naphthalene;cytochrome P450 family 4 subfamily A11
K17687;CYP4A11;cytochrome P450 family 4 subfamily A11 ;C06790;Aliphatic;ATSDR;Trichloroethene;cytochrome P450 family 4 subfamily A11
K17687;CYP4A11;cytochrome P450 family 4 subfamily A11 ;C06790;Aliphatic;IARC1;Trichloroethene;cytochrome P450 family 4 subfamily A11
K17687;CYP4A11;cytochrome P450 family 4 subfamily A11 ;C16038;Aromatic;IARC2B;2-Amino-1-methyl-6-phenylimidazo[4,5-b]pyridine;cytochrome P450 family 4 subfamily A11
K17687;CYP4A11;cytochrome P450 family 4 subfamily A11 ;C16038;Nitrogen-containing;IARC2B;2-Amino-1-methyl-6-phenylimidazo[4,5-b]pyridine;cytochrome P450 family 4 subfamily A11
K17687;CYP4A11;cytochrome P450 family 4 subfamily A11 ;C06790;Chlorinated;PSL;Trichloroethene;cytochrome P450 family 4 subfamily A11
K17687;CYP4A11;cytochrome P450 family 4 subfamily A11 ;C00829;Polyaromatic;EPA;Naphthalene;cytochrome P450 family 4 subfamily A11
K17687;CYP4A11;cytochrome P450 family 4 subfamily A11 ;C14343;Halogenated;ATSDR;Trifluralin;cytochrome P450 family 4 subfamily A11
K17687;CYP4A11;cytochrome P450 family 4 subfamily A11 ;C16756;Aromatic;IARC1;Aflatoxin M1;cytochrome P450 family 4 subfamily A11
K17687;CYP4A11;cytochrome P450 family 4 subfamily A11 ;C06790;Aliphatic;PSL;Trichloroethene;cytochrome P450 family 4 subfamily A11
K17687;CYP4A11;cytochrome P450 family 4 subfamily A11 ;C00829;Polyaromatic;EPC;Naphthalene;cytochrome P450 family 4 subfamily A11
K17687;CYP4A11;cytochrome P450 family 4 subfamily A11 ;C07434;Nitrogen-containing;IARC2B;Phenobarbital;cytochrome P450 family 4 subfamily A11
K17687;CYP4A11;cytochrome P450 family 4 subfamily A11 ;C07535;Polyaromatic;PSL;Benzo[a]pyrene;cytochrome P450 family 4 subfamily A11
K17687;CYP4A11;cytochrome P450 family 4 subfamily A11 ;C07535;Polyaromatic;IARC1;Benzo[a]pyrene;cytochrome P450 family 4 subfamily A11
K17687;CYP4A11;cytochrome P450 family 4 subfamily A11 ;C16453;Aliphatic;IARC1;4-(N-Nitrosomethylamino)-1-(3-pyridyl)-1-butanone;cytochrome P450 family 4 subfamily A11
K17687;CYP4A11;cytochrome P450 family 4 subfamily A11 ;C14343;Nitrogen-containing;ATSDR;Trifluralin;cytochrome P450 family 4 subfamily A11
K17687;CYP4A11;cytochrome P450 family 4 subfamily A11 ;C06604;Nitrogen-containing;IARC2B;Parathion;cytochrome P450 family 4 subfamily A11
K17687;CYP4A11;cytochrome P450 family 4 subfamily A11 ;C07535;Polyaromatic;WFD;Benzo[a]pyrene;cytochrome P450 family 4 subfamily A11
K17687;CYP4A11;cytochrome P450 family 4 subfamily A11 ;C16756;Aromatic;IARC2B;Aflatoxin M1;cytochrome P450 family 4 subfamily A11
K17687;CYP4A11;cytochrome P450 family 4 subfamily A11 ;C00067;Aliphatic;IARC1;Formaldehyde;cytochrome P450 family 4 subfamily A11
K17687;CYP4A11;cytochrome P450 family 4 subfamily A11 ;C16452;Aliphatic;IARC1;N'-Nitrosonornicotine;cytochrome P450 family 4 subfamily A11
K17687;CYP4A11;cytochrome P450 family 4 subfamily A11 ;C07108;Polyaromatic;IARC1;Tamoxifen;cytochrome P450 family 4 subfamily A11
K17687;CYP4A11;cytochrome P450 family 4 subfamily A11 ;C14343;Nitrogen-containing;EPC;Trifluralin;cytochrome P450 family 4 subfamily A11
K17687;CYP4A11;cytochrome P450 family 4 subfamily A11 ;C19586;Aromatic;IARC1;Aflatoxin B1-exo-8,9-epoxide;cytochrome P450 family 4 subfamily A11
K17687;CYP4A11;cytochrome P450 family 4 subfamily A11 ;C06604;Aromatic;ATSDR;Parathion;cytochrome P450 family 4 subfamily A11
K17687;CYP4A11;cytochrome P450 family 4 subfamily A11 ;C06790;Aliphatic;CONAMA;Trichloroethene;cytochrome P450 family 4 subfamily A11
K17687;CYP4A11;cytochrome P450 family 4 subfamily A11 ;C06604;Nitrogen-containing;ATSDR;Parathion;cytochrome P450 family 4 subfamily A11
K17687;CYP4A11;cytochrome P450 family 4 subfamily A11 ;C14343;Aromatic;EPC;Trifluralin;cytochrome P450 family 4 subfamily A11
K17687;CYP4A11;cytochrome P450 family 4 subfamily A11 ;C06604;Aromatic;IARC2B;Parathion;cytochrome P450 family 4 subfamily A11
K17687;CYP4A11;cytochrome P450 family 4 subfamily A11 ;C06790;Chlorinated;CONAMA;Trichloroethene;cytochrome P450 family 4 subfamily A11
K17687;CYP4A11;cytochrome P450 family 4 subfamily A11 ;C19585;Aromatic;IARC1;Aflatoxin Q1;cytochrome P450 family 4 subfamily A11
K17687;CYP4A11;cytochrome P450 family 4 subfamily A11 ;C07535;Polyaromatic;CONAMA;Benzo[a]pyrene;cytochrome P450 family 4 subfamily A11
K17687;CYP4A11;cytochrome P450 family 4 subfamily A11 ;C07535;Polyaromatic;ATSDR;Benzo[a]pyrene;cytochrome P450 family 4 subfamily A11
K17687;CYP4A11;cytochrome P450 family 4 subfamily A11 ;C14866;Aliphatic;IARC2A;Chloral;cytochrome P450 family 4 subfamily A11
K17687;CYP4A11;cytochrome P450 family 4 subfamily A11 ;C14343;Aromatic;ATSDR;Trifluralin;cytochrome P450 family 4 subfamily A11
K17687;CYP4A11;cytochrome P450 family 4 subfamily A11 ;C06800;Aromatic;IARC1;Aflatoxin B1;cytochrome P450 family 4 subfamily A11
K17687;CYP4A11;cytochrome P450 family 4 subfamily A11 ;C16452;Nitrogen-containing;IARC1;N'-Nitrosonornicotine;cytochrome P450 family 4 subfamily A11
K17687;CYP4A11;cytochrome P450 family 4 subfamily A11 ;C06604;Organophosphorus;ATSDR;Parathion;cytochrome P450 family 4 subfamily A11
K17687;CYP4A11;cytochrome P450 family 4 subfamily A11 ;C00067;Aliphatic;PSL;Formaldehyde;cytochrome P450 family 4 subfamily A11
K17687;CYP4A11;cytochrome P450 family 4 subfamily A11 ;C14343;Nitrogen-containing;WFD;Trifluralin;cytochrome P450 family 4 subfamily A11
K17687;CYP4A11;cytochrome P450 family 4 subfamily A11 ;C19595;Aromatic;IARC1;Aflatoxin B1-endo-8,9-epoxide;cytochrome P450 family 4 subfamily A11
K17687;CYP4A11;cytochrome P450 family 4 subfamily A11 ;C07535;Polyaromatic;EPC;Benzo[a]pyrene;cytochrome P450 family 4 subfamily A11
K17687;CYP4A11;cytochrome P450 family 4 subfamily A11 ;C06604;Organophosphorus;IARC2B;Parathion;cytochrome P450 family 4 subfamily A11
K17687;CYP4A11;cytochrome P450 family 4 subfamily A11 ;C07108;Nitrogen-containing;IARC1;Tamoxifen;cytochrome P450 family 4 subfamily A11
K17687;CYP4A11;cytochrome P450 family 4 subfamily A11 ;C06790;Aliphatic;EPC;Trichloroethene;cytochrome P450 family 4 subfamily A11
K17687;CYP4A11;cytochrome P450 family 4 subfamily A11 ;C00067;Aliphatic;ATSDR;Formaldehyde;cytochrome P450 family 4 subfamily A11
K17687;CYP4A11;cytochrome P450 family 4 subfamily A11 ;C14343;Aromatic;WFD;Trifluralin;cytochrome P450 family 4 subfamily A11
K17687;CYP4A11;cytochrome P450 family 4 subfamily A11 ;C16453;Nitrogen-containing;IARC1;4-(N-Nitrosomethylamino)-1-(3-pyridyl)-1-butanone;cytochrome P450 family 4 subfamily A11
K17687;CYP4A11;cytochrome P450 family 4 subfamily A11 ;C00829;Polyaromatic;WFD;Naphthalene;cytochrome P450 family 4 subfamily A11
